MO,TE,HU,WS,RR,Y
3,22.8,59,3,0,0
3,23.1,63,6,0,0
3,23.5,66,5,0,0
3,24.6,69,6,0,0
3,26.4,63,6,0,0
3,26.1,66,3,0,0
3,27.6,59,3,0,0
3,27.6,58,4,0,0
3,28.1,63,4,0,0
3,28.1,60,3,0,0
3,27.2,56,6,0,0
3,28,63,6,0,0
3,29.4,51,6,0,0
3,29.9,40,9,0,0
3,30.2,35,8,0,0
3,28.8,44,3,0,0
3,27.5,67,3,0,0
3,26.2,74,7,0,0
3,25.9,70,11,0,0
3,26.1,72,9,0,0
3,26.4,64,10,0,0
3,27.4,68,6,0,0
3,27.5,73,5,0,0
3,28.1,62,4,0,0
3,26.2,54,5,0,0
3,25.9,56,9,0,0
3,24.2,53,4,0,0
3,24.2,58,5,0,0
3,24.5,66,6,0,0
3,24.6,70,8,0,0
3,25.5,65,9,0,0
4,26.9,66,7,0,0
4,28.5,65,4,0,0
4,30.2,59,5,0,0
4,33.3,48,9,0,0
4,31.7,40,5,0,0
4,30.3,53,2,0,0
4,29.4,62,3,0,0
4,28.8,71,7,0,0
4,28.2,58,10,0,0
4,29.3,65,7,0,0
4,30.1,62,4,0,0
4,30.2,66,5,0,0
4,28.9,61,10,0,0
4,27.5,56,8,0,0
4,26.5,61,7,0,0
4,27.8,58,5,0,0
4,29.6,69,7,43,1
4,28.1,65,8,0,0
4,27.3,60,8,0,0
4,30.2,43,29,5,0
4,31.2,46,4,0,0
4,30,52,7,0,0
4,27.7,45,9,0,0
4,26.8,57,7,0,0
4,28.6,60,5,0,0
4,30.2,55,5,0,0
4,31.2,53,3,0,0
4,31.2,57,5,0,0
4,31,56,6,0,0
4,29.2,65,8,0,0
5,30.9,58,6,0,0
5,29.8,59,8,0,0
5,28.8,51,10,0,0
5,27.6,58,9,0,0
5,27.6,61,5,0,0
5,28.1,54,5,0,0
5,27.9,51,5,0,0
5,27.6,67,4,0,0
5,28.6,54,4,0,0
5,30.9,35,7,0,0
5,31.9,42,7,0,0
5,32.3,56,5,0,0
5,31.2,61,6,0,0
5,31.7,51,6,0,0
5,29.3,47,6,0,0
5,29.1,64,4,0,0
5,31.6,51,5,0,0
5,34.3,44,7,0,0
5,31.7,40,8,0,0
5,30.6,69,10,0,0
5,30.4,66,10,0,0
5,29.7,70,8,0,0
5,31.4,58,9,0,0
5,29.7,59,10,0,0
5,29.2,64,8,0,0
5,29.3,68,5,0,0
5,26.6,68,5,0,0
5,30.8,63,8,0,0
5,30.6,59,11,0,0
5,30.5,57,8,0,0
5,31.7,47,8,0,0
6,31.5,55,7,0,0
6,33,50,7,0,0
6,32.3,51,6,0,0
6,32.4,61,8,0,0
6,33.4,51,7,0,0
6,31.2,60,5,0,0
6,31.2,54,5,0,0
6,30.9,60,5,0,0
6,31.8,66,7,0,0
6,32,54,11,0,0
6,31.8,55,8,0,0
6,33.7,39,7,0,0
6,33.7,41,8,0,0
6,32.7,48,10,0,0
6,32,50,10,0,0
6,31.6,59,8,0,0
6,31.8,55,6,0,0
6,32.6,54,6,0,0
6,33.6,49,9,0,0
6,34.1,47,9,0,0
6,37.1,42,8,0,0
6,37.9,31,9,0,0
6,34.2,53,4,0,0
6,36.3,46,6,0,0
6,32.1,52,5,0,0
6,32,59,8,0,0
6,30.3,58,9,0,0
6,30.1,69,6,0,0
6,31.1,70,3,0,0
6,32.4,57,4,0,0
7,31.7,62,7,0,0
7,32.6,58,7,0,0
7,32.3,50,8,0,0
7,33.3,47,7,0,0
7,33.9,45,8,0,0
7,34.4,48,9,0,0
7,34.2,49,9,0,0
7,33.5,58,7,0,0
7,33,66,8,0,0
7,32.8,72,3,0,0
7,32.3,63,8,7.2,0
7,32.9,58,8,0,0
7,33.8,58,5,0,0
7,34.5,62,7,0,0
7,34.4,57,12,0,0
7,35.3,54,7,0,0
7,35,54,6,0,0
7,34.4,57,7,0,0
7,34.6,48,6,0,0
7,33,56,5,0,0
7,31.8,65,6,0,0
7,31.4,64,3,0,0
7,33.6,55,4,0,0
7,34.7,46,4,0,0
7,34,46,5,0,0
7,34.5,35,6,8.8,0
7,34.3,48,6,0,0
7,32.9,59,4,0,0
7,34.4,57,6,0,0
7,34.5,54,7,0,0
7,34.7,55,5,0,0
8,35.2,45,7,0,0
8,34.7,55,5,0,0
8,34.8,52,7,0,0
8,34.8,42,6,0,0
8,34.4,47,5,0,0
8,35.1,41,7,0,0
8,35.7,50,8,0,0
8,34.2,63,4,0,0
8,34.4,67,5,0,0
8,34.1,68,6,0,0
8,34.1,69,5,0,0
8,34.6,60,7,0,0
8,34.7,52,6,0,0
8,34.2,58,6,0,0
8,34.2,70,5,0,0
8,34.2,62,6,0,0
8,34.8,55,5,0,0
8,34.1,67,5,0,0
8,34.1,63,5,0,0
8,35.5,67,4,0,0
8,34.7,66,3,0,0
8,33.4,71,3,0,0
8,34,65,7,0,0
8,34.6,62,5,0,0
8,33.6,59,5,0,0
8,33.8,64,6,0,0
8,33.6,61,5,0,0
8,34.1,56,7,0,0
8,33.6,62,6,0,0
8,33.8,58,6,0,0
8,33.6,61,5,0,0
9,33.4,58,5,0,0
9,32,64,6,0,0
9,32,68,8,0,0
9,32.6,63,6,0,0
9,31.9,67,7,0,0
9,32.6,62,7,0,0
9,32,70,3,0,0
9,32.6,67,6,0,0
9,32.5,67,6,0,0
9,32.8,62,7,0,0
9,32.4,49,8,0,0
9,31.6,63,6,0,0
9,31.3,73,5,0,0
9,32.1,71,6,0,0
9,31.2,70,7,0,0
9,30.7,71,7,0,0
9,31,73,6,0,0
9,30.5,76,5,0,0
9,30.8,74,6,0,0
9,31.5,70,5,0,0
9,32,66,5,2.2,0
9,32.4,65,5,0,0
9,31.7,67,4,0,0
9,30.6,65,3,0,0
9,30.6,67,4,0,0
9,31.2,62,5,0,0
9,30.9,69,5,0,0
9,32.1,72,5,0,0
9,30.5,79,4,0,0
9,30.7,71,4,0,0
10,30.7,67,5,0,0
10,30.9,68,5,0,0
10,31.8,65,3,0,0
10,32.1,62,6,0,0
10,32.1,63,6,0,0
10,31.7,68,3,0,0
10,31.7,66,4,0,0
10,32.2,66,4,0,0
10,31.3,74,6,0,0
10,32.1,60,7,0,0
10,31.3,63,8,0,0
10,31.7,58,9,0,0
10,32.2,65,8,0,0
10,31.2,61,5,0,0
10,31.1,61,3,0,0
10,31,65,3,0,0
10,29.8,73,4,0,0
10,30.7,66,3,0,0
10,32.3,55,5,0,0
10,32.8,39,6,15,1
10,31.8,44,4,0,0
10,31.4,43,5,0,0
10,30.7,57,3,0,0
10,29.1,63,3,0,0
10,29.7,63,2,0,0
10,30.1,66,5,0,0
10,29.2,65,3,0,0
10,29.6,52,3,0,0
10,29.4,66,5,0,0
10,30.1,67,3,0,0
10,29.1,68,4,0,0
11,29,66,5,0,0
11,29.2,67,6,0,0
11,29.5,62,4,34.2,1
11,29.7,64,5,0,0
11,30.3,62,4,0,0
11,29.3,58,3,0,0
11,28.5,57,3,56,1
11,28.3,69,3,0,0
11,28.8,59,3,0,0
11,28.6,53,4,0,0
11,30.5,35,9,16,1
11,28.5,49,3,0,0
11,29.2,55,3,0,0
11,28.9,56,3,16.6,1
11,29.4,61,3,0,0
11,28.8,58,5,60.6,1
11,28.6,62,5,17.6,1
11,27.6,50,4,0,0
11,28.8,48,2,0,0
11,29,56,3,0,0
11,28.8,53,4,68,1
11,28.2,54,5,15.4,1
11,28.1,46,4,0,0
11,29.4,43,6,0,0
11,28.6,50,3,0,0
11,28.6,56,2,0,0
11,28.6,57,4,0,0
11,29.7,43,8,39,1
11,28.7,28,5,0,0
11,29,26,6,0,0
12,27.6,30,7,13.8,1
12,26.7,33,4,23,1
12,25.8,51,4,0,0
12,25.7,42,5,33.4,1
12,25.1,52,5,0,0
12,24.7,53,3,0,0
12,25,54,4,0,0
12,25.2,60,2,0,0
12,25.3,64,4,0.6,1
12,24.8,64,6,0,0
12,24.8,57,4,0,0
12,24.1,57,4,0,0
12,22.9,48,12,0,0
12,24.3,43,7,0,0
12,25.3,69,2,0,0
12,26.8,67,3,0,0
12,27.3,68,3,0,0
12,27.9,70,3,0,0
12,26.5,68,6,0,0
12,26.2,63,4,0,0
12,26.8,55,4,0,0
12,26.2,58,4,0,0
12,25.6,55,4,0,0
12,25.2,75,4,0,0
12,25.7,57,6,32,1
12,25.5,60,4,0,0
12,26.3,52,4,0,0
12,26.4,52,4,0,0
12,23.9,67,5,24,1
12,23.3,72,11,41,1
12,21.5,68,5,0,0
1,23.2,62,5,0,0
1,24.3,71,4,0,0
1,25.2,75,2,0,0
1,25.7,76,6,2,1
1,24.9,71,5,0,0
1,24.4,62,8,0,0
1,24.2,66,8,0,0
1,24.1,57,9,0,0
1,22.9,55,9,0,0
1,23.9,41,10,0,0
1,23.7,41,4,0,0
1,24,56,6,0,0
1,23.8,75,3,2.5,1
1,26,73,12,15,1
1,21.4,70,10,29.2,1
1,19.9,65,8,0,0
1,20.8,58,6,0,0
1,20.7,63,5,0,0
1,20.8,49,8,0,0
1,20.8,51,6,0,0
1,21.1,56,4,0,0
1,22.7,66,3,0,0
1,24.5,58,6,0,0
1,25,68,4,0,0
1,25.1,81,6,8.2,1
1,22.9,87,4,19,1
1,22.8,74,5,0,0
1,24.2,71,5,0,0
1,24.3,74,3,0,0
1,24.2,76,3,0,0
1,22.8,69,6,0,0
2,21.7,63,5,0,0
2,21.8,64,3,0,0
2,23,61,7,0,0
2,25.3,48,5,0,0
2,26,64,4,0,0
2,26.2,64,4,0,0
2,26.1,69,3,0,0
2,25.8,78,8,0,0
2,23.5,62,6,0,0
2,22.2,63,5,0,0
2,21.8,59,8,0,0
2,22.4,49,8,0,0
2,22.5,46,8,0,0
2,21.3,50,7,0,0
2,21.8,54,5,0,0
2,23.1,64,3,0,0
2,23.3,58,20,9,0
2,24.2,57,4,0,0
2,25.2,67,3,0,0
2,25.4,73,5,0,0
2,24.5,55,8,0,0
2,24.2,63,4,0,0
2,25.3,65,4,0,0
2,26.6,69,5,0,0
2,26.6,69,4,0,0
2,26,71,5,0,0
2,25,67,6,0,0
2,24.7,67,7,0,0
3,24.1,62,6,0,0
3,25.3,56,6,0,0
3,25.7,59,4,0,0
3,25.8,65,4,0,0
3,26.1,69,4,0,0
3,26.2,65,5,0,0
3,26.4,67,3,0,0
3,27.4,68,9,0,0
3,26.4,61,7,0,0
3,25.2,48,11,0,0
3,23.7,48,10,0,0
3,24.1,59,10,0,0
3,22.7,44,11,0,0
3,24.8,38,15,0,0
3,26.7,32,18,0,0
3,24.7,39,15,0,0
3,22.8,60,8,0.5,0
3,25.4,56,6,0,0
3,26.2,63,5,0,0
3,26.9,61,3,0,0
3,28,57,5,0,0
3,27.1,55,6,0,0
3,25.7,60,10,0,0
3,25,53,10,0,0
3,22.8,57,13,0,0
3,24.1,43,11,0,0
3,25.2,58,8,0,0
3,25,66,8,13,0
3,25.1,69,7,0,0
3,26.4,66,5,0,0
3,26.5,65,4,0,0
4,27.8,61,4,0,0
4,28.2,59,5,0,0
4,28.5,59,7,0,0
4,27.1,62,9,0,0
4,25.6,54,11,0,0
4,21.7,48,10,0,0
4,24.6,51,9,0,0
4,26.3,42,8,0,0
4,26.9,48,7,0,0
4,26.7,44,11,0,0
4,25.6,55,8,0,0
4,26.7,50,9,0,0
4,26.9,47,9,28,1
4,26.8,60,8,0,0
4,26.9,65,9,0,0
4,28.1,56,6,0,0
4,29.8,61,5,38,1
4,30.7,52,5,0,0
4,32,49,8,0,0
4,30.6,59,5,0,0
4,28.3,64,8,0,0
4,28.8,54,8,0,0
4,28.7,57,7,0,0
4,28,61,10,0,0
4,27.1,49,9,0,0
4,27,47,8,0,0
4,27.2,61,8,0,0
4,30,51,6,0,0
4,32.2,43,11,0,0
4,29.3,56,12,0,0
5,26.4,47,10,0,0
5,27.4,64,7,0,0
5,30.2,49,6,0,0
5,30.5,42,5,0,0
5,30.9,40,5,0,0
5,30.9,33,5,0,0
5,31.3,34,6,0,0
